genetics_bool,genetic_sd,slot_duration,start_abdominal,timestep,simultaneous_fixation,clutch_m,clutch_sd,noise_sd,n_embryos,smallest_n,total_clutches,chisquare,chi_pvalue,pearsonsR,Rsquared,pear_pvalue
True,5,60,42,2,False,10,6,20,535,36,56,5.79787234043,0.44620938029,0.979000659102,0.958442290521,0.0
False,0,30,42,2,False,10,6,20,726,20,66,1.44230769231,0.963234339342,0.98733758827,0.97483551321,0.0
True,10,120,42,2,True,10,6,20,771,91,71,11.3939393939,0.0769380522647,0.956695465095,0.915266212933,0.0
True,10,60,42,2,False,10,6,20,750,47,68,4.22406639004,0.646383157755,0.957028851332,0.915904222282,0.0
False,0,60,42,2,True,10,6,20,658,36,67,2.5,0.868467665482,0.985689092169,0.971582986421,0.0
True,5,30,42,2,True,10,6,20,775,10,76,5.85849056604,0.439227481253,0.979126322972,0.958688356336,0.0
True,10,15,42,2,False,10,6,20,620,5,61,6.89215686275,0.330935798088,0.949954640995,0.902413819948,1.77615909668e-314
False,0,60,42,2,False,10,6,20,751,52,75,1.33828996283,0.969504433286,0.984609751088,0.969456361938,0.0
False,0,60,42,2,True,10,6,20,621,38,65,2.0488997555,0.915146770735,0.982614191314,0.965530648971,0.0
False,0,60,42,2,True,10,6,20,740,6,71,5.125,0.527883942361,0.987493382423,0.975143180329,0.0
False,0,15,42,2,False,10,6,20,647,7,69,0.753424657534,0.993264730234,0.98869807728,0.977523888017,0.0
False,0,15,42,2,False,10,6,20,700,6,73,0.860557768924,0.990350790731,0.987853232231,0.975854008429,0.0
False,0,15,42,2,False,10,6,20,800,8,66,0.199395770393,0.999846709834,0.987203497687,0.974570745846,0.0
False,0,120,42,2,False,10,6,20,813,123,72,0.421705426357,0.99866502394,0.975627188236,0.951848410425,0.0
True,5,60,42,2,False,10,6,20,598,37,60,8.61979166667,0.196116626046,0.974213728919,0.949092389615,0.0
False,0,60,42,2,True,10,6,20,677,30,75,4.44444444444,0.616761218584,0.983044921074,0.96637731685,0.0
True,10,60,42,2,False,10,6,20,794,57,79,9.49555950266,0.147566023816,0.945397258886,0.893775977109,0.0
False,0,15,42,2,False,10,6,20,879,10,81,0.690307328605,0.994697860175,0.986505491707,0.973193085169,0.0
